gene,ctrl_1,ctrl_2,ctrl_3,trt_1,trt_2,trt_3
GENE1472,35,112,106,73,322,101
GENE1473,56,182,105,99,203,115
GENE1474,249,403,290,80,124,241
GENE1475,7088,6617,12145,5365,7237,8996
GENE1476,129,175,97,113,209,122
GENE1477,1,17,13,7,17,20
GENE1478,13,103,186,90,62,106
GENE1479,93,250,213,68,173,210
GENE1480,296,317,1353,487,1013,839
GENE1481,62,84,23,22,95,65
GENE1482,146,113,157,108,238,187
GENE1483,203,273,390,46,82,120
GENE1484,906,661,1287,859,1350,777
GENE1485,2805,4776,6705,4366,6116,6068
GENE1486,47,62,16,18,54,93
GENE1487,351,226,344,189,470,279
GENE1488,36,207,75,76,95,117
GENE1489,39,27,31,5,90,109
GENE1490,360,438,775,331,354,1378
GENE1491,29,37,21,38,12,12
GENE1492,365,370,818,225,518,704
GENE1493,71,119,124,37,170,67
GENE1494,22,54,49,19,70,63
GENE1495,144,215,262,100,228,225
GENE1496,191,245,502,179,217,252
GENE1497,94,188,196,112,146,373
GENE1498,129,134,310,76,111,134
GENE1499,58,222,451,72,227,308
GENE1500,0,3,6,6,0,2
GENE1501,72,34,100,49,33,82
GENE1502,29,44,107,43,111,95
GENE1503,13,0,6,0,5,10
GENE1504,8,1,15,9,8,10
GENE1505,800,710,910,845,1284,2130
GENE1506,39,54,18,18,33,59
GENE1507,216,213,287,50,160,189
GENE1508,1000,507,1135,467,953,743
GENE1509,2,19,31,2,7,32
GENE1510,75,42,347,47,154,253
GENE1511,574,910,931,744,849,879
GENE1512,50,36,67,59,75,165
GENE1513,453,647,377,201,959,860
GENE1514,92,55,224,53,91,185
GENE1515,326,213,739,416,643,298
GENE1516,409,295,837,540,304,730
GENE1517,33,26,39,4,29,15
GENE1518,108,185,173,92,181,231
GENE1519,512,363,546,396,504,365
GENE1520,271,771,576,379,586,579
GENE1521,11,52,31,29,56,50
GENE1522,119,125,315,95,176,169
GENE1523,114,121,153,78,89,131
GENE1524,40,125,59,36,131,103
GENE1525,76,37,167,47,104,56
GENE1526,2869,5342,3558,2086,4332,6553
GENE1527,10,85,21,6,25,18
GENE1528,1,0,1,1,0,22
GENE1529,1006,1438,1432,816,1078,1594
GENE1530,38,33,75,23,39,59
GENE1531,503,346,1153,466,651,547
GENE1532,1025,752,948,763,975,1175
GENE1533,155,99,129,79,255,258
GENE1534,2173,6041,5131,3871,6107,3206
GENE1535,4,13,53,12,21,18
GENE1536,245,581,645,484,479,643
GENE1537,92,191,235,77,214,523
GENE1538,568,665,1215,360,998,1228
GENE1539,37,159,42,102,42,86
GENE1540,514,621,756,226,864,570
GENE1541,305,314,416,403,592,735
GENE1542,26,24,23,13,3,54
GENE1543,12,35,37,13,16,17
GENE1544,280,328,331,304,167,486
GENE1545,531,433,721,445,505,817
GENE1546,729,887,1901,976,1684,1991
GENE1547,805,1027,408,1228,1213,2765
GENE1548,107,237,297,233,257,401
GENE1549,28,48,29,5,90,35
GENE1550,1057,2270,2025,1030,1482,3378
GENE1551,16,31,66,25,112,51
GENE1552,212,554,326,236,323,818
GENE1553,14,62,68,34,85,72
GENE1554,18,48,16,50,21,39
GENE1555,220,81,207,248,216,384
GENE1556,3,11,25,16,17,3
GENE1557,213,348,729,187,296,620
GENE1558,3,14,51,15,23,38
GENE1559,266,97,272,127,343,412
GENE1560,8,11,7,5,5,23
GENE1561,12,4,13,9,2,21
GENE1562,453,276,261,431,338,533
GENE1563,3,3,14,0,6,3
GENE1564,36,41,203,41,86,52
GENE1565,154,172,174,228,207,241
GENE1566,1151,1191,1593,1161,1966,2549
GENE1567,317,349,510,72,396,255
GENE1568,317,323,528,147,243,642
GENE1569,159,163,361,135,131,206
GENE1570,78,167,38,29,80,122
GENE1571,141,397,387,129,365,469
GENE1572,13,16,53,45,34,44
GENE1573,2006,2200,3468,1677,4290,6355
GENE1574,15,24,19,31,21,35
GENE1575,22,114,49,14,40,82
GENE1576,19,24,6,21,26,75
GENE1577,29,78,124,36,19,53
GENE1578,46,140,391,109,164,188
GENE1579,243,623,589,377,701,398
GENE1580,5,14,33,13,14,42
GENE1581,47,119,53,52,118,67
GENE1582,8,55,15,8,44,6
GENE1583,45,96,70,66,58,25
GENE1584,78,27,48,31,52,23
GENE1585,26,93,19,11,79,71
GENE1586,86,111,85,79,69,192
GENE1587,13,40,12,136,85,485
GENE1588,7,27,30,15,11,33
GENE1589,59,154,155,57,103,203
GENE1590,1028,1422,1760,1023,1075,2265
GENE1591,26,32,46,17,26,83
GENE1592,2222,3747,4734,2079,3775,3850
GENE1593,6128,7647,9341,4477,8954,11531
GENE1594,52,203,237,23,20,42
GENE1595,696,743,919,543,482,961
GENE1596,47,91,138,39,57,100
GENE1597,178,122,468,138,141,394
GENE1598,389,298,437,275,315,346
GENE1599,3744,7690,12131,2662,6420,6674
GENE1600,238,558,941,513,729,1045
GENE1601,1173,2118,2454,972,1255,3220
GENE1602,131,206,173,237,349,185
GENE1603,553,1029,1148,445,1089,1276
GENE1604,7,3,11,2,2,6
GENE1605,104,320,173,131,242,262
GENE1606,44,99,214,153,203,323
GENE1607,32,64,33,89,39,114
GENE1608,82,59,389,103,131,221
GENE1609,27,142,238,55,63,126
GENE1610,210,402,467,601,515,656
GENE1611,306,171,431,338,258,356
GENE1612,376,629,483,147,410,755
GENE1613,49,218,230,134,114,184
GENE1614,126,158,148,114,93,121
GENE1615,865,1599,811,631,1114,721
GENE1616,103,241,400,113,240,367
GENE1617,216,202,334,188,246,551
GENE1618,138,279,203,110,199,359
GENE1619,9,25,24,13,38,26
GENE1620,41,121,145,61,92,92
GENE1621,14,88,94,7,23,26
GENE1622,361,666,1128,599,489,750
GENE1623,291,168,396,135,282,728
GENE1624,305,288,929,109,625,671
GENE1625,64,101,187,58,101,39
GENE1626,207,370,172,90,176,348
GENE1627,1731,1267,1453,1213,1060,2183
GENE1628,128,254,281,75,158,187
GENE1629,25,97,102,33,55,107
GENE1630,40,46,128,16,62,205
GENE1631,136,247,379,104,276,399
GENE1632,299,254,382,181,345,510
GENE1633,71,96,118,102,54,108
GENE1634,49,77,223,53,164,35
GENE1635,3148,2944,7364,1922,10359,5354
GENE1636,540,729,819,361,973,1384
GENE1637,72,158,131,110,71,100
GENE1638,277,513,502,204,603,929
GENE1639,1566,1325,3575,1484,1918,2890
GENE1640,64,152,170,42,173,193
GENE1641,58,91,141,43,56,322
GENE1642,294,426,1016,250,723,281
GENE1643,5,42,48,23,5,26
GENE1644,28,46,60,30,107,62
GENE1645,89,76,88,26,76,18
GENE1646,522,789,632,280,584,782
GENE1647,2806,4261,2410,1976,4535,2816
GENE1648,1612,1232,1504,581,1547,1833
GENE1649,191,310,269,183,510,577
GENE1650,58,108,84,29,79,82
GENE1651,124,258,323,87,452,556
GENE1652,22,43,31,41,92,76
GENE1653,12,58,87,89,47,103
GENE1654,50,34,80,51,51,50
GENE1655,28,27,57,18,42,74
GENE1656,8,60,66,26,28,34
GENE1657,155,135,297,83,234,223
GENE1658,79,195,134,49,115,342
GENE1659,109,97,343,22,124,198
GENE1660,197,197,206,124,382,438
GENE1661,248,447,737,433,484,596
GENE1662,15,26,21,7,17,18
GENE1663,483,855,1051,262,693,994
GENE1664,202,398,664,492,642,878
GENE1665,115,107,125,168,137,233
GENE1666,488,493,574,252,907,766
GENE1667,2172,1775,3805,1038,2643,4349
GENE1668,4,3,9,8,0,17
GENE1669,70,113,111,66,220,116
GENE1670,703,1597,857,1151,940,1564
GENE1671,2,11,1,6,3,6
GENE1672,173,145,299,123,231,249
GENE1673,24,55,87,28,38,19
GENE1674,8,19,18,3,32,26
GENE1675,302,251,393,202,499,558
GENE1676,124,176,132,63,277,177
GENE1677,125,283,339,125,229,266
GENE1678,1057,1517,1513,1321,2361,2228
GENE1679,245,326,261,160,239,496
GENE1680,46,66,119,11,68,62
GENE1681,13,36,50,0,50,28
GENE1682,1,1,4,4,1,9
GENE1683,124,100,511,93,122,202
GENE1684,55,113,58,109,144,66
GENE1685,196,254,501,159,483,713
GENE1686,12,51,58,2,36,21
GENE1687,708,1664,1849,503,1045,886
GENE1688,476,310,475,296,884,1094
GENE1689,463,1038,719,299,668,1307
GENE1690,64,209,170,122,292,315
GENE1691,60,132,45,45,79,147
GENE1692,14,62,92,37,13,34
GENE1693,97,299,168,91,238,267
GENE1694,228,258,199,129,165,338
GENE1695,4,19,5,13,2,6
GENE1696,16,37,63,29,66,23
GENE1697,19,24,63,46,145,47
GENE1698,2059,3309,2056,1178,4345,3229
GENE1699,32,31,58,42,26,23
GENE1700,129,209,447,221,532,405
GENE1701,1348,1208,1586,1069,1681,1576
GENE1702,83,218,147,53,247,215
GENE1703,6,5,9,3,16,30
GENE1704,77,112,74,86,161,150
GENE1705,38,46,24,55,111,41
GENE1706,31,17,10,4,22,36
GENE1707,73,114,166,68,155,103
GENE1708,131,43,127,10,45,67
GENE1709,58,45,116,61,66,117
GENE1710,120,263,194,121,280,400
GENE1711,637,1733,2198,551,1771,1439
GENE1712,28,184,183,54,129,84
GENE1713,57,89,184,62,81,100
GENE1714,39,98,65,63,106,218
GENE1715,252,198,416,244,740,461
GENE1716,11,98,45,24,84,64
GENE1717,2845,3935,6172,3877,4443,7072
GENE1718,55,26,30,33,19,79
GENE1719,163,309,341,130,341,170
GENE1720,179,280,791,202,330,323
GENE1721,1209,2999,2242,1238,2345,2658
GENE1722,473,655,591,471,526,1482
GENE1723,34,46,111,7,28,46
GENE1724,77,50,228,45,95,177
GENE1725,30,73,91,41,29,116
GENE1726,0,0,1,4,2,6
GENE1727,167,224,287,198,166,322
GENE1728,247,145,328,200,488,521
GENE1729,123,257,404,236,440,365
GENE1730,29,21,56,16,51,95
GENE1731,133,670,533,463,543,861
GENE1732,19,29,77,41,68,22
GENE1733,2366,5345,6086,2007,3809,6860
GENE1734,10037,19775,21935,9185,25483,40247
GENE1735,72,212,179,62,93,202
GENE1736,725,2755,1213,1053,1385,1830
GENE1737,90,87,55,30,83,98
GENE1738,91,85,41,23,18,67
GENE1739,36,39,103,49,104,164
GENE1740,111,192,309,142,251,353
GENE1741,1667,3432,2535,1754,3256,2445
GENE1742,333,660,485,207,977,620
GENE1743,43,84,176,95,127,141
GENE1744,130,216,305,156,297,328
GENE1745,603,893,987,2044,2602,6125
GENE1746,81,302,182,148,178,219
GENE1747,301,578,607,265,277,238
GENE1748,0,18,1,5,1,13
GENE1749,124,284,96,66,249,207
GENE1750,534,505,1351,358,411,965
GENE1751,1278,2609,2556,912,2769,3850
GENE1752,19,24,72,35,66,86
GENE1753,13,23,78,28,50,44
GENE1754,310,295,280,229,397,432
GENE1755,30,29,123,98,57,185
GENE1756,108,679,1441,199,636,557
GENE1757,19,95,122,41,66,78
GENE1758,14,11,18,13,21,21
GENE1759,74,122,161,88,52,143
GENE1760,65,89,82,89,35,113
GENE1761,30,68,39,15,86,86
GENE1762,60,87,104,44,59,84
GENE1763,21,38,66,38,86,114
GENE1764,3,15,11,7,7,13
GENE1765,159,131,391,100,234,155
GENE1766,56,213,236,93,134,238
GENE1767,284,239,555,328,470,954
GENE1768,203,295,948,231,712,1215
GENE1769,5,4,4,0,11,2
GENE1770,330,277,640,256,782,519
GENE1771,1183,1320,1493,892,1219,1881
GENE1772,3,5,10,10,5,1
GENE1773,2177,2982,4269,2548,4401,9046
GENE1774,9,69,92,15,58,11
GENE1775,405,826,1560,667,1111,1057
GENE1776,334,552,793,138,702,671
GENE1777,1059,1485,2730,1041,938,2396
GENE1778,375,215,833,259,518,899
GENE1779,103,130,430,317,582,845
GENE1780,36,58,27,31,73,73
GENE1781,913,1910,2206,1024,1185,1813
GENE1782,1136,1334,949,793,1500,2081
GENE1783,212,449,662,320,474,785
GENE1784,392,665,805,528,911,568
GENE1785,3,12,13,25,15,7
GENE1786,320,633,507,242,619,769
GENE1787,1150,1204,1556,670,1354,1553
GENE1788,12,11,8,18,46,28
GENE1789,148,281,320,55,160,463
GENE1790,104,72,177,144,147,268
GENE1791,468,708,504,378,1263,1210
GENE1792,1770,798,1952,1374,2043,2254
GENE1793,10,32,64,17,44,46
GENE1794,248,420,308,256,267,507
GENE1795,164,328,488,147,293,457
GENE1796,94,272,305,85,258,293
GENE1797,119,229,361,47,96,140
GENE1798,1367,1640,924,942,1541,2159
GENE1799,57,66,64,31,38,41
GENE1800,75,91,110,27,156,109
GENE1801,2,25,75,9,43,65
GENE1802,3,0,14,1,23,3
GENE1803,7,9,0,8,2,0
GENE1804,575,510,366,322,493,634
GENE1805,1220,3361,2870,1349,2719,2098
GENE1806,119,194,353,223,303,289
GENE1807,506,736,2130,413,1612,1859
GENE1808,9,6,25,7,16,54
GENE1809,127,255,148,110,277,190
GENE1810,313,349,249,203,155,369
GENE1811,43,77,133,88,124,157
GENE1812,1,6,7,3,3,26
GENE1813,489,897,874,447,905,1082
GENE1814,20,30,99,48,27,90
GENE1815,178,417,410,311,972,802
GENE1816,902,887,2251,839,2755,2817
GENE1817,2234,5351,9553,3452,6205,7653
GENE1818,255,235,301,292,324,419
GENE1819,165,145,246,160,308,447
GENE1820,5,7,43,34,32,19
GENE1821,61,86,254,127,339,216
GENE1822,213,422,362,494,426,674
GENE1823,203,388,664,220,438,435
GENE1824,0,1,1,0,7,5
GENE1825,14,12,10,7,23,32
GENE1826,11,9,67,17,4,50
GENE1827,212,392,643,303,289,631
GENE1828,62,79,141,51,116,135
GENE1829,8,26,17,45,12,49
GENE1830,32,103,190,32,132,225
GENE1831,17,23,56,7,19,13
GENE1832,203,193,237,115,298,427
GENE1833,154,309,207,128,409,494
GENE1834,591,621,1021,649,428,1551
GENE1835,20,30,21,0,40,8
GENE1836,105,33,178,61,62,211
GENE1837,20,75,113,31,56,163
GENE1838,291,255,236,226,153,602
GENE1839,59,136,51,51,65,136
GENE1840,1878,2009,2451,2085,4604,5614
GENE1841,209,253,508,258,289,379
GENE1842,79,86,258,59,100,139
GENE1843,16,20,57,5,11,20
GENE1844,136,194,294,136,226,557
GENE1845,1,13,4,0,1,5
GENE1846,197,183,215,187,295,494
GENE1847,52,48,31,11,73,54
GENE1848,12,0,15,6,13,29
GENE1849,315,452,517,215,634,326
GENE1850,94,103,269,69,186,236
GENE1851,206,344,907,244,631,571
GENE1852,189,309,393,255,482,141
GENE1853,361,557,1212,438,793,707
GENE1854,49,49,62,55,98,53
GENE1855,4721,3917,8556,6506,10271,9087
GENE1856,160,137,134,111,263,446
GENE1857,416,921,1688,449,752,795
GENE1858,412,961,827,471,769,852
GENE1859,1491,578,829,784,1250,1463
GENE1860,91,128,295,124,192,126
GENE1861,58,141,165,98,118,55
GENE1862,8,47,23,16,12,50
GENE1863,51,33,14,32,31,16
GENE1864,103,117,116,108,176,280
GENE1865,35,21,73,38,8,69
GENE1866,8,35,50,17,45,98
GENE1867,836,1127,2243,342,1918,955
GENE1868,13,59,44,22,30,65
GENE1869,133,144,98,153,202,231
GENE1870,22,6,2,28,12,17
GENE1871,598,966,2212,339,1489,1600
GENE1872,107,329,574,143,478,386
GENE1873,183,150,88,76,168,120
GENE1874,184,183,246,189,164,319
GENE1875,5977,8075,11205,9234,10626,16950
GENE1876,701,1892,1772,1385,2395,2695
GENE1877,101,79,103,83,224,58
GENE1878,10,30,37,22,15,19
GENE1879,511,680,1162,303,1138,1240
GENE1880,1541,1784,2030,812,947,2250
GENE1881,119,84,63,48,60,75
GENE1882,71,193,267,86,171,162
GENE1883,29,170,289,132,246,194
GENE1884,532,1041,644,259,827,817
GENE1885,104,195,141,140,227,287
GENE1886,21,63,38,32,67,33
GENE1887,23,18,44,35,43,37
GENE1888,32,95,76,45,57,200
GENE1889,2829,4096,2794,2452,3396,5916
GENE1890,183,140,346,167,243,217
GENE1891,803,691,977,698,1120,2127
GENE1892,534,589,733,454,509,567
GENE1893,149,216,173,121,223,348
GENE1894,99,46,203,137,176,178
GENE1895,16,22,83,15,12,47
GENE1896,401,1037,941,572,948,1298
GENE1897,1302,628,1114,134,177,289
GENE1898,111,256,387,95,263,385
GENE1899,37,46,92,34,92,29
GENE1900,15,64,39,43,102,51
GENE1901,41,118,236,145,191,191
GENE1902,80,100,153,46,109,233
GENE1903,74,161,128,33,156,209
GENE1904,411,1652,1183,515,552,1285
GENE1905,103,133,139,118,382,120
GENE1906,413,600,892,399,683,961
GENE1907,261,1170,572,577,607,584
GENE1908,69,63,98,61,46,193
GENE1909,53,62,53,47,68,52
GENE1910,9,36,31,26,26,15
GENE1911,52,66,90,28,35,73
GENE1912,68,122,136,74,142,110
GENE1913,12,37,19,11,13,29
GENE1914,122,140,237,717,2390,3857
GENE1915,83,163,286,172,303,419
GENE1916,1,7,14,19,3,46
GENE1917,82,173,161,38,104,211
GENE1918,52,120,304,33,338,154
GENE1919,30,135,170,68,178,152
GENE1920,16,46,100,25,54,45
GENE1921,72,193,122,78,171,243
GENE1922,160,602,776,103,316,753
GENE1923,89,383,262,102,166,358
GENE1924,49,100,77,33,68,98
GENE1925,50,43,78,11,89,62
GENE1926,79,108,83,37,127,153
GENE1927,79,48,184,85,121,94
GENE1928,4582,9774,9096,6489,8305,11065
GENE1929,367,516,781,413,676,926
GENE1930,936,852,2688,901,2496,2721
GENE1931,0,10,6,0,4,10
GENE1932,123,205,125,58,214,230
GENE1933,80,140,154,41,146,277
GENE1934,342,255,437,324,306,224
GENE1935,171,121,232,57,164,167
GENE1936,414,489,590,494,251,844
GENE1937,1533,2334,4122,1366,2925,4336
GENE1938,3,9,18,5,4,13
GENE1939,30,40,39,12,37,26
GENE1940,100,246,273,294,367,371
GENE1941,16,49,51,3,19,43
GENE1942,130,135,260,133,300,373
GENE1943,1,6,0,1,1,3
GENE1944,170,180,372,118,180,406
GENE1945,144,237,640,141,221,422
GENE1946,93,189,351,135,243,213
GENE1947,12,8,8,1,7,11
GENE1948,287,685,498,208,628,1105
GENE1949,396,443,632,407,741,534
GENE1950,202,173,177,97,353,229
GENE1951,369,615,233,325,410,392
GENE1952,13,46,18,20,56,18
GENE1953,61,103,70,30,74,103
GENE1954,41,53,107,18,95,60
GENE1955,47,95,108,77,223,190
GENE1956,66,33,116,137,66,172
GENE1957,349,768,569,464,768,547
GENE1958,9,6,2,0,12,8
GENE1959,1793,3278,4480,2331,3694,2671
GENE1960,95,483,328,176,132,290
GENE1961,107,299,446,90,292,196
GENE1962,12,42,47,4,28,57
GENE1963,166,212,127,178,299,292
GENE1964,43,24,54,13,36,51
GENE1965,9,35,71,18,49,16
GENE1966,196,160,382,160,142,181
GENE1967,169,736,668,426,638,489
GENE1968,26,129,198,73,133,144
GENE1969,100,93,178,51,208,255
GENE1970,254,397,484,123,292,239
GENE1971,102,292,317,123,255,183
GENE1972,149,336,258,143,308,430
GENE1973,88,177,67,51,68,231
GENE1974,285,450,768,373,380,903
GENE1975,601,1258,1071,210,382,752
GENE1976,32,113,56,36,44,89
GENE1977,99,200,159,119,135,83
GENE1978,167,617,601,194,726,317
GENE1979,0,15,34,19,30,8
GENE1980,198,247,444,192,455,462
GENE1981,772,1358,1362,716,976,1626
GENE1982,187,206,322,200,344,559
GENE1983,96,191,124,38,107,125
GENE1984,217,259,196,270,381,223
GENE1985,22,24,56,21,60,90
GENE1986,341,336,824,417,584,861
GENE1987,198,216,200,170,172,304
GENE1988,4,1,22,3,8,15
GENE1989,288,396,927,563,438,462
GENE1990,430,842,1334,323,403,656
GENE1991,1514,1739,1978,1509,3897,1391
GENE1992,30,47,60,50,59,32
GENE1993,62,90,103,43,82,146
GENE1994,562,1579,950,489,1549,2588
GENE1995,50,38,35,37,32,80
GENE1996,64,27,40,45,62,95
GENE1997,70,140,207,134,77,158
GENE1998,557,540,787,551,979,578
GENE1999,1298,2140,3203,2071,2591,4383
GENE2000,168,164,613,228,374,544
